campana escenario seed thr sys favorable
mopc_60 corredor seed_157300 236.9 56.3 1
mopc_60 corredor seed_214181 244.4 54.6 1
mopc_60 corredor seed_281772 195.3 57.1 1
mopc_60 corredor seed_372292 237.6 57.3 1
mopc_60 corredor seed_400290 200.9 63.4 1
mopc_60 corredor seed_423459 214.1 63.1 1
mopc_60 corredor seed_449463 191.0 57.1 1
mopc_60 corredor seed_843099 237.0 57.3 1
mopc_60 corredor seed_950893 177.2 62.6 1
mopc_60 corredor seed_974616 153.0 60.9 1
mopc_60 demanda_baja seed_157300 8.8 14.9 1
mopc_60 demanda_baja seed_214181 3.7 42.4 1
mopc_60 demanda_baja seed_281772 4.1 44.2 1
mopc_60 demanda_baja seed_372292 -56.8 -2.5 0
mopc_60 demanda_baja seed_400290 6.8 43.4 1
mopc_60 demanda_baja seed_423459 6.7 42.9 1
mopc_60 demanda_baja seed_449463 4.9 43.2 1
mopc_60 demanda_baja seed_843099 7.0 42.8 1
mopc_60 demanda_baja seed_950893 3.0 39.8 1
mopc_60 demanda_baja seed_974616 6.1 43.0 1
mopc_60 demanda_media seed_157300 63.6 21.5 1
mopc_60 demanda_media seed_214181 54.5 23.5 1
mopc_60 demanda_media seed_281772 24.6 10.7 1
mopc_60 demanda_media seed_372292 -67.2 -20.8 0
mopc_60 demanda_media seed_400290 59.9 21.6 1
mopc_60 demanda_media seed_423459 27.6 20.1 1
mopc_60 demanda_media seed_449463 197.2 23.8 1
mopc_60 demanda_media seed_843099 49.1 15.5 1
mopc_60 demanda_media seed_950893 435.3 30.8 1
mopc_60 demanda_media seed_974616 22.4 7.2 1
mopc_60 demanda_alta seed_157300 50.0 8.8 1
mopc_60 demanda_alta seed_214181 -50.5 2.0 0
mopc_60 demanda_alta seed_281772 74.6 10.1 1
mopc_60 demanda_alta seed_372292 146.5 13.6 1
mopc_60 demanda_alta seed_400290 -5.3 -15.3 0
mopc_60 demanda_alta seed_423459 -5.9 -12.6 0
mopc_60 demanda_alta seed_449463 23.4 1.7 1
mopc_60 demanda_alta seed_843099 -56.5 -24.2 0
mopc_60 demanda_alta seed_950893 128.4 18.4 1
mopc_60 demanda_alta seed_974616 -64.5 -14.8 0
mopc_60 demanda_saturada seed_157300 184.8 9.3 1
